Participant_ID,Total_Logs,Empty_Logs,Percentage_EmptyLogs,Missing_Logs,Percentage_MissingLogs,Manual_Logs,Percentage_ManualEntry
1624580081,31,0,0.0,0,0.0,0,0.0
1644430081,30,0,0.0,1,3.225806451612903,0,0.0
2022484408,31,0,0.0,0,0.0,0,0.0
2347167796,18,0,0.0,13,41.935483870967744,0,0.0
3977333714,30,0,0.0,1,3.225806451612903,0,0.0
4319703577,31,0,0.0,0,0.0,0,0.0
4388161847,31,0,0.0,0,0.0,0,0.0
4702921684,31,1,3.225806451612903,0,0.0,0,0.0
5577150313,30,2,6.666666666666667,1,3.225806451612903,0,0.0
6775888955,26,9,34.615384615384613,5,16.129032258064516,1,3.8461538461538463
6962181067,31,0,0.0,0,0.0,3,9.67741935483871
7007744171,26,2,7.6923076923076925,5,16.129032258064516,12,46.153846153846153
7086361926,31,1,3.225806451612903,0,0.0,0,0.0
8253242879,19,1,5.2631578947368416,12,38.70967741935484,0,0.0
8583815059,31,1,3.225806451612903,0,0.0,0,0.0
8792009665,29,10,34.482758620689658,2,6.4516129032258061,0,0.0
1844505072,31,10,32.258064516129032,0,0.0,0,0.0
1927972279,31,14,45.161290322580641,0,0.0,0,0.0
2026352035,31,0,0.0,0,0.0,0,0.0
2320127002,31,0,0.0,0,0.0,0,0.0
2873212765,31,0,0.0,0,0.0,0,0.0
3372868164,20,0,0.0,11,35.483870967741936,0,0.0
4020332650,31,14,45.161290322580641,0,0.0,0,0.0
4057192912,4,1,25.0,27,87.096774193548384,0,0.0
4445114986,31,0,0.0,0,0.0,0,0.0
4558609924,31,0,0.0,0,0.0,0,0.0
5553957443,31,0,0.0,0,0.0,0,0.0
6117666160,28,5,17.857142857142858,3,9.67741935483871,0,0.0
6290855005,29,5,17.241379310344829,2,6.4516129032258061,0,0.0
8053475328,31,0,0.0,0,0.0,0,0.0
8378563200,31,0,0.0,0,0.0,16,51.612903225806448
8877689391,31,0,0.0,0,0.0,0,0.0
1503960366,31,1,3.225806451612903,0,0.0,0,0.0